variance,frag_score,split,model,eps,district_type
10927047.205947444,7805.033718533888,equal,ToyDown_analytical,1,block_discon
11059990.135772401,7899.992954123148,equal,ToyDown_analytical,1,block_discon
11279142.543559166,8056.53038825654,equal,ToyDown_analytical,1,block_discon
10949460.662168305,7821.043330120215,equal,ToyDown_analytical,1,block_discon
11213011.867021414,8009.2941907295635,equal,ToyDown_analytical,1,block_discon
11362273.391955182,8115.909565682264,equal,ToyDown_analytical,1,block_discon
11077459.963646138,7912.471402604389,equal,ToyDown_analytical,1,block_discon
11078032.199749125,7912.880142677934,equal,ToyDown_analytical,1,block_discon
11304513.300630488,8074.652357593212,equal,ToyDown_analytical,1,block_discon
11105652.733525604,7932.609095375418,equal,ToyDown_analytical,1,block_discon
11164612.908115009,7974.723505796421,equal,ToyDown_analytical,1,block_discon
10989145.360423757,7849.389543159818,equal,ToyDown_analytical,1,block_discon
11195888.14434309,7997.062960245065,equal,ToyDown_analytical,1,block_discon
11402552.312947104,8144.680223533653,equal,ToyDown_analytical,1,block_discon
10923868.600484947,7802.763286060665,equal,ToyDown_analytical,1,block_discon
11040687.723473499,7886.205516766784,equal,ToyDown_analytical,1,block_discon
11079621.68977295,7914.015492694976,equal,ToyDown_analytical,1,block_discon
11403672.464753067,8145.480331966481,equal,ToyDown_analytical,1,block_discon
10806011.684519961,7718.579774657132,equal,ToyDown_analytical,1,block_discon
11168585.9091909,7977.561363707782,equal,ToyDown_analytical,1,block_discon
11131266.049164478,7950.90432083177,equal,ToyDown_analytical,1,block_discon
11322801.638128025,8087.715455805731,equal,ToyDown_analytical,1,block_discon
11090633.878806336,7921.881342004522,equal,ToyDown_analytical,1,block_discon
11237823.971812489,8027.017122723216,equal,ToyDown_analytical,1,block_discon
11032318.89911177,7880.227785079839,equal,ToyDown_analytical,1,block_discon
11060920.333077198,7900.657380769415,equal,ToyDown_analytical,1,block_discon
10960792.881800419,7829.137772714583,equal,ToyDown_analytical,1,block_discon
11161938.571302803,7972.813265216285,equal,ToyDown_analytical,1,block_discon
11279450.953697793,8056.750681212713,equal,ToyDown_analytical,1,block_discon
11539581.013352955,8242.55786668068,equal,ToyDown_analytical,1,block_discon
11051801.049110182,7894.143606507285,equal,ToyDown_analytical,1,block_discon
11217389.798545096,8012.42128467507,equal,ToyDown_analytical,1,block_discon
11093408.323769927,7923.863088407101,equal,ToyDown_analytical,1,block_discon
11360737.89834909,8114.812784535055,equal,ToyDown_analytical,1,block_discon
11305739.396224502,8075.528140160348,equal,ToyDown_analytical,1,block_discon
11194559.526572641,7996.113947551887,equal,ToyDown_analytical,1,block_discon
11324091.271947213,8088.636622819429,equal,ToyDown_analytical,1,block_discon
11334266.715475284,8095.90479676807,equal,ToyDown_analytical,1,block_discon
11416932.488402737,8154.951777430526,equal,ToyDown_analytical,1,block_discon
11124781.819107505,7946.272727933923,equal,ToyDown_analytical,1,block_discon
11133573.706207285,7952.552647290919,equal,ToyDown_analytical,1,block_discon
10877590.12922286,7769.707235159196,equal,ToyDown_analytical,1,block_discon
11334335.483394593,8095.953916710418,equal,ToyDown_analytical,1,block_discon
11427119.81725357,8162.228440895412,equal,ToyDown_analytical,1,block_discon
10915623.034154948,7796.873595824957,equal,ToyDown_analytical,1,block_discon
11296584.996986985,8068.989283562126,equal,ToyDown_analytical,1,block_discon
11147843.57691747,7962.745412083912,equal,ToyDown_analytical,1,block_discon
11206233.001335738,8004.452143811243,equal,ToyDown_analytical,1,block_discon
10883537.373299409,7773.955266642431,equal,ToyDown_analytical,1,block_discon
11205237.53871839,8003.741099084564,equal,ToyDown_analytical,1,block_discon
11111850.174986979,7937.035839276417,equal,ToyDown_analytical,1,block_discon
11126966.175093565,7947.832982209685,equal,ToyDown_analytical,1,block_discon
10977222.906326143,7840.873504518665,equal,ToyDown_analytical,1,block_discon
10766596.82484369,7690.426303459787,equal,ToyDown_analytical,1,block_discon
11458789.06580497,8184.849332717828,equal,ToyDown_analytical,1,block_discon
11311832.848382846,8079.880605987756,equal,ToyDown_analytical,1,block_discon
11136362.962694377,7954.544973353121,equal,ToyDown_analytical,1,block_discon
11071861.341648389,7908.472386891715,equal,ToyDown_analytical,1,block_discon
11402001.962185502,8144.287115846789,equal,ToyDown_analytical,1,block_discon
10964493.003054783,7831.780716467705,equal,ToyDown_analytical,1,block_discon
11051721.954999607,7894.087110713989,equal,ToyDown_analytical,1,block_discon
11397624.85842739,8141.160613162427,equal,ToyDown_analytical,1,block_discon
11134419.414791333,7953.156724850957,equal,ToyDown_analytical,1,block_discon
10982641.642093,7844.74403006643,equal,ToyDown_analytical,1,block_discon
11085072.812049298,7917.909151463783,equal,ToyDown_analytical,1,block_discon
11115789.176898172,7939.84941207012,equal,ToyDown_analytical,1,block_discon
11141292.827160653,7958.066305114745,equal,ToyDown_analytical,1,block_discon
11220454.901981153,8014.61064427225,equal,ToyDown_analytical,1,block_discon
11381602.761164304,8129.716257974507,equal,ToyDown_analytical,1,block_discon
11268017.840708371,8048.584171934552,equal,ToyDown_analytical,1,block_discon
11047297.208426131,7890.926577447237,equal,ToyDown_analytical,1,block_discon
11290606.147006389,8064.718676433129,equal,ToyDown_analytical,1,block_discon
11264368.463604113,8045.977474002936,equal,ToyDown_analytical,1,block_discon
11050227.033326995,7893.019309519285,equal,ToyDown_analytical,1,block_discon
11083292.26091069,7916.637329221929,equal,ToyDown_analytical,1,block_discon
11173023.307047717,7980.730933605521,equal,ToyDown_analytical,1,block_discon
11223228.45459886,8016.591753284907,equal,ToyDown_analytical,1,block_discon
11200192.55949623,8000.137542497308,equal,ToyDown_analytical,1,block_discon
11107055.378698846,7933.610984784891,equal,ToyDown_analytical,1,block_discon
11034319.403151851,7881.656716537037,equal,ToyDown_analytical,1,block_discon
11135065.62711094,7953.618305079236,equal,ToyDown_analytical,1,block_discon
11036178.271027263,7882.984479305184,equal,ToyDown_analytical,1,block_discon
11087399.202210033,7919.570858721436,equal,ToyDown_analytical,1,block_discon
11046313.634217214,7890.224024440871,equal,ToyDown_analytical,1,block_discon
