GEOID,HISP,male,female,VAP,HVAP,NH_WHITEPOP,NH_BLACKPOP,NH_AMINPOP,NH_ASIANPOP,NH_HAWAIIANPOP,NH_OTHERPOP,NH_WVAP,NH_BVAP,NH_AMINVAP,NH_ASIANVAP,NH_HAWAIIANVAP,NH_OTHERVAP,TOTPOP
481130002012018,5,26.0,30.0,47.0,5.0,44.0,2.0,4.0,0.0,0.0,1.0,37.0,2.0,2.0,0.0,0.0,1.0,56
481130002012019,0,18.0,27.0,34.0,0.0,42.0,0.0,0.0,3.0,0.0,0.0,31.0,0.0,0.0,3.0,0.0,0.0,45
481130002012020,3,17.0,20.0,33.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,37
481130002012021,5,17.0,15.0,24.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,32
481130002012022,4,18.0,17.0,24.0,2.0,30.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,35
481130002012024,0,13.0,17.0,26.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,30
481130002012025,0,16.0,18.0,32.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,34
481130002012026,4,26.0,38.0,45.0,3.0,59.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,64
481130002013000,2,30.0,25.0,38.0,0.0,49.0,0.0,0.0,4.0,0.0,0.0,36.0,0.0,0.0,2.0,0.0,0.0,55
481130002013001,10,18.0,28.0,33.0,6.0,36.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,46
481130002013002,13,22.0,32.0,32.0,4.0,38.0,0.0,0.0,1.0,0.0,2.0,27.0,0.0,0.0,1.0,0.0,0.0,54
481130002013003,9,14.0,20.0,27.0,4.0,23.0,0.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,2.0,0.0,0.0,34
481130002013004,4,15.0,17.0,25.0,4.0,26.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,32
481130002013006,3,30.0,33.0,38.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,63
481130002013007,0,13.0,15.0,24.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,28
481130002013008,0,17.0,29.0,34.0,0.0,42.0,4.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,46
481130002013009,14,28.0,37.0,50.0,8.0,50.0,0.0,0.0,1.0,0.0,0.0,41.0,0.0,0.0,1.0,0.0,0.0,65
481130002013010,4,17.0,20.0,31.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,37
481130002013011,5,19.0,20.0,29.0,3.0,30.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,0.0,39
481130002013014,2,30.0,33.0,44.0,2.0,61.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,63
481130002013015,3,29.0,26.0,39.0,1.0,47.0,3.0,1.0,0.0,0.0,1.0,35.0,2.0,1.0,0.0,0.0,0.0,55
481130002013016,9,29.0,38.0,54.0,7.0,58.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,67
481130002013017,8,58.0,48.0,69.0,3.0,85.0,0.0,0.0,9.0,1.0,3.0,60.0,0.0,0.0,4.0,0.0,2.0,106
481130002013018,3,31.0,37.0,46.0,1.0,64.0,0.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,1.0,68
481130002013019,4,36.0,51.0,64.0,2.0,80.0,0.0,0.0,3.0,0.0,0.0,60.0,0.0,0.0,2.0,0.0,0.0,87
481130002021000,4,22.0,23.0,39.0,4.0,36.0,0.0,0.0,5.0,0.0,0.0,32.0,0.0,0.0,3.0,0.0,0.0,45
481130002021001,2,26.0,28.0,38.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,54
481130002021002,3,20.0,24.0,38.0,3.0,37.0,0.0,0.0,0.0,0.0,4.0,33.0,0.0,0.0,0.0,0.0,2.0,44
481130002021003,2,26.0,21.0,42.0,2.0,37.0,4.0,3.0,0.0,0.0,1.0,34.0,4.0,1.0,0.0,0.0,1.0,47
481130002021004,9,46.0,51.0,96.0,9.0,82.0,1.0,1.0,3.0,0.0,1.0,81.0,1.0,1.0,3.0,0.0,1.0,97
481130002021005,22,29.0,33.0,43.0,15.0,37.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,2.0,62
481130002021006,4,26.0,24.0,43.0,3.0,45.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,0.0,0.0,1.0,50
481130002021007,10,34.0,29.0,44.0,4.0,51.0,1.0,0.0,0.0,0.0,1.0,38.0,1.0,0.0,0.0,0.0,1.0,63
481130002021008,6,24.0,15.0,31.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,39
481130002021009,4,28.0,29.0,50.0,4.0,49.0,0.0,0.0,2.0,0.0,2.0,42.0,0.0,0.0,2.0,0.0,2.0,57
481130002021011,13,30.0,17.0,43.0,11.0,32.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,2.0,0.0,0.0,47
481130002021012,8,23.0,26.0,45.0,8.0,38.0,1.0,0.0,0.0,0.0,2.0,35.0,1.0,0.0,0.0,0.0,1.0,49
481130002021013,1,33.0,26.0,54.0,0.0,55.0,1.0,0.0,0.0,0.0,2.0,51.0,1.0,0.0,0.0,0.0,2.0,59
481130002021014,7,35.0,28.0,57.0,5.0,55.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,1.0,63
481130002021015,15,25.0,27.0,42.0,11.0,37.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,52
481130002022000,12,68.0,54.0,102.0,10.0,106.0,1.0,0.0,2.0,0.0,1.0,88.0,1.0,0.0,2.0,0.0,1.0,122
481130002022001,3,20.0,18.0,29.0,1.0,34.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,38
