ratio,var,type,eps
7.60298423986178,8168.537037288053,eq,2.0
4.721209203330092,5072.399339721397,eq,2.0
7.708790609628582,8282.213880873991,eq,2.0
5.409339720293759,5811.716880962029,eq,2.0
5.934877210781289,6376.346810486761,eq,2.0
6.740823981215982,7242.244441822397,eq,2.0
6.5309642569541255,7016.77416907339,eq,2.0
5.651408180976057,6071.791757386948,eq,2.0
6.5134873924904175,6997.99727697897,eq,2.0
3.764968717277094,4045.0282995546413,eq,2.0
6.193998551888307,6654.743056645876,eq,2.0
3.145528414505295,3379.5105375880125,eq,2.0
7.3725667640295205,7920.979811599465,eq,2.0
5.711639116190433,6136.503008859709,eq,2.0
4.53115666481759,4868.209622777013,eq,2.0
6.707252774437014,7206.176019567526,eq,2.0
4.471336766419341,4803.939983354246,eq,2.0
6.4754790120778,6957.161619119781,eq,2.0
5.278600195831092,5671.252214178748,eq,2.0
5.328109892989665,5724.444721513482,eq,2.0
8.179125002941108,8787.534395881874,eq,2.0
7.535738973440535,8096.289689139633,eq,2.0
6.783273067878438,7287.851130677986,eq,2.0
5.68781520958474,6110.906945874178,eq,2.0
5.693895988490988,6117.440047370144,eq,2.0
5.633031559318533,6052.048179090059,eq,2.0
7.299598402674317,7842.583652476158,eq,2.0
5.688463203574279,6111.603141306984,eq,2.0
6.005856063044876,6452.605469624775,eq,2.0
6.856142345680178,7366.140835854958,eq,2.0
5.24446996506923,5634.583184588004,eq,2.0
7.424405622955065,7976.674736874196,eq,2.0
5.060099888089902,5436.498622676473,eq,2.0
8.738529354894972,9388.55039480999,eq,2.0
6.002043138840552,6448.5089186389005,eq,2.0
5.3206580897226425,5716.438611141437,eq,2.0
6.117319507915746,6572.3601934288545,eq,2.0
5.7072598675693,6131.798007056644,eq,2.0
8.06171627761795,8661.392148174094,eq,2.0
7.0090370884639395,7530.40875090439,eq,2.0
6.156569385355964,6614.529697858245,eq,2.0
10.847340171725028,11654.226439697222,eq,2.0
6.492225980586954,6975.154321486847,eq,2.0
5.292363153291046,5686.038937945033,eq,2.0
6.372398335307452,6846.413220929939,eq,2.0
5.228709417467388,5617.650278672111,eq,2.0
6.436174063561665,6914.932947117616,eq,2.0
6.749346831127335,7251.401269321674,eq,2.0
6.045406006684064,6495.0973608673685,eq,2.0
5.74534835146153,6172.719726943504,eq,2.0
9.991971612028502,10735.23074800816,eq,2.0
7.784282197644895,8363.320958471479,eq,2.0
6.726677298699861,7227.04544936864,eq,2.0
6.98634996227622,7506.034028468113,eq,2.0
4.551007210651904,4889.536764033974,eq,2.0
3.4690763348446834,3727.1257748751364,eq,2.0
7.827824814552568,8410.102520512075,eq,2.0
7.085252503690119,7612.293498057128,eq,2.0
5.870670106639087,6307.36362024249,eq,2.0
7.235538508470435,7773.758622474692,eq,2.0
5.525250450204419,5936.249703919917,eq,2.0
6.1770963720268135,6636.583597431736,eq,2.0
6.8469731496203465,7356.289583339636,eq,2.0
8.056706119810508,8656.009306605361,eq,2.0
7.568632807900953,8131.630352307078,eq,2.0
4.744474058552934,5097.394765932932,eq,2.0
7.979825334900879,8573.409695823912,eq,2.0
5.368277971476069,5767.60072795535,eq,2.0
5.2984283676324235,5692.555317096114,eq,2.0
6.085324496153,6537.985212454646,eq,2.0
4.2144097983800455,4527.901340093127,eq,2.0
7.813870063314588,8395.109736266128,eq,2.0
4.658459360051799,5004.981809613235,eq,2.0
4.178539878774388,4489.363213802248,eq,2.0
6.755796999217832,7258.331237250282,eq,2.0
6.521367145812144,7006.463170741547,eq,2.0
5.945780782402397,6388.061451187814,eq,2.0
5.416121565527845,5819.003198048595,eq,2.0
5.624281549710137,6042.6472944758225,eq,2.0
8.663832278190938,9308.296928751886,eq,2.0
5.579258631563447,5994.275318051114,eq,2.0
9.531440961114418,10240.443232985446,eq,2.0
8.128226918499998,8732.850225197366,eq,2.0
7.3243087436805325,7869.132087846447,eq,2.0
7.718681126553586,8292.840110163832,eq,2.0
7.3029169786780965,7846.149082857535,eq,2.0
9.871350100521731,10605.636728981937,eq,2.0
6.197597595136803,6658.609817005578,eq,2.0
4.422630113889906,4751.610255631932,eq,2.0
7.400882101661939,7951.4014035529335,eq,2.0
5.957062524480135,6400.182392794397,eq,2.0
8.425196396595686,9051.909965983154,eq,2.0
6.671484714023694,7167.747329329512,eq,2.0
8.874006697998121,9534.105305873647,eq,2.0
6.08630474919177,6539.038382236469,eq,2.0
5.104011081793853,5483.676178331748,eq,2.0
6.434595225897867,6913.236666614366,eq,2.0
5.835944923695783,6270.0553825755205,eq,2.0
6.650555630893278,7145.261423096672,eq,2.0
5.859115587886993,6294.949611295888,eq,2.0
6.71207047420551,7211.352086984209,eq,2.0
4.300336558592948,4620.219816779331,eq,2.0
4.556548702535817,4895.490463300935,eq,2.0
4.124694291371382,4431.512288281458,eq,2.0
6.193038950606276,6653.712074814794,eq,2.0
6.055273143096162,6505.698470470045,eq,2.0
7.102232870659916,7630.536960377135,eq,2.0
4.260859702088865,4577.806449304672,eq,2.0
7.095654214308271,7623.468946506706,eq,2.0
7.820932776935984,8402.697814312858,eq,2.0
6.3975964234738685,6873.485684841816,eq,2.0
4.460618056605937,4792.423955523531,eq,2.0
5.085717020532018,5464.021301737865,eq,2.0
5.612329843035049,6029.806552531047,eq,2.0
6.489193871948422,6971.896667527093,eq,2.0
4.806992321594454,5164.563489561755,eq,2.0
8.052869099047427,8651.886866622946,eq,2.0
6.364315623971957,6837.729271993213,eq,2.0
5.860564009651179,6296.505774830244,eq,2.0
6.5454890105929575,7032.3793557097415,eq,2.0
7.14772051656018,7679.408233623666,eq,2.0
6.750658209865837,7252.810195798096,eq,2.0
6.526258359841023,7011.718220823424,eq,2.0
5.281140646849113,5673.981638254536,eq,2.0
7.163505443005278,7696.367331818507,eq,2.0
7.3322277709447095,7877.640176968554,eq,2.0
6.025313411125979,6473.510164864651,eq,2.0
5.51447056620279,5924.667951420246,eq,2.0
5.878368204030832,6315.634345483696,eq,2.0
5.671468125723015,6093.343873827276,eq,2.0
3.0093749853153353,3233.2292493458335,eq,2.0
5.512741989954365,5922.810793932926,eq,2.0
5.8315220106390955,6265.303468330211,eq,2.0
6.548034167805281,7035.113836053077,eq,2.0
5.572507214180855,5987.021692211046,eq,2.0
8.522573422975114,9156.530444135795,eq,2.0
5.9664540374386315,6410.272499391677,eq,2.0
